Title,Actors,Directors,Genre,IMDb_Rating,Plot,Poster_Image,Link
The Good Wife (South Korean TV series),"['Jeon Do-yeon', 'Yoo Ji-tae', 'Yoon Kye-sang']",['Lee Jeong-hyo'],['Drama'],7,"A husband (Yoo Ji-Tae) works as a successful prosecutor and his future appears bright, but he gets arrested for corruption in a political scandal. His wife (Jeon Do-Yeon) worked as an attorney prior to their marriage, now resumes her career after a 13 year hiatus. She begins to f... Read all   A husband (Yoo Ji-Tae) works as a successful prosecutor and his future appears bright, but he gets arrested for corruption in a political scandal. His wife (Jeon Do-Yeon) worked as an attorney prior to their marriage, now resumes her career after a 13 year hiatus. She begins to f... Read all Read all ",https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/The_Good_Wife_%28%EA%B5%BF_%EC%99%80%EC%9D%B4%ED%94%84%29_-_poster.jpg/220px-The_Good_Wife_%28%EA%B5%BF_%EC%99%80%EC%9D%B4%ED%94%84%29_-_poster.jpg,https://en.wikipedia.org/wiki/The_Good_Wife_(South_Korean_TV_series)
The Great Merchant,"['Lee Mi-yeon', 'Han Jae-suk', 'Park Sol-mi', 'Ha Seok-jin', 'Go Doo-shim']","['Kang Byung-taek', 'Kim Seong-yoon']","['Period drama', 'Romance']",7,"This drama depicts the life of Kim Man Deok, a woman born on Jeju Island who transcended her lowly status as a gisaeng as well as the restraints of her birthplace, considered at the time to be a remote place of exile, to become a successful female merchant in the Joseon Era. She ... Read all   This drama depicts the life of Kim Man Deok, a woman born on Jeju Island who transcended her lowly status as a gisaeng as well as the restraints of her birthplace, considered at the time to be a remote place of exile, to become a successful female merchant in the Joseon Era. She ... Read all Read all  ",https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Great_Merchant-poster.jpg/220px-Great_Merchant-poster.jpg,https://en.wikipedia.org/wiki/The_Great_Merchant
The Great Seer,"['Ji Sung', 'Ji Jin-hee', 'Song Chang-eui', 'Kim So-yeon', 'Lee Yoon-ji']",['Lee Yong-suk'],['Historical'],7.6,The story set in the late Goryeo Dynasty in which a group of Feng Shui advisers to the government authorities help the hero Lee Sung Gye become the first king of the Joseon Dynasty.  The story set in the late Goryeo Dynasty in which a group of Feng Shui advisers to the government authorities help the hero Lee Sung Gye become the first king of the Joseon Dynasty. ,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/The_Great_Seer-poster.jpg/250px-The_Great_Seer-poster.jpg,https://en.wikipedia.org/wiki/The_Great_Seer
The Great Shaman Ga Doo-shim,"['Kim Sae-ron', 'Nam Da-reum']",['Park Ho-jin'],"['Fantasy', 'Mystery', 'Romance']",7,A story of a high school girl born with an undesired fate who transfers to a haunted school where a student who came last on the test commits suicide.  A story of a high school girl born with an undesired fate who transfers to a haunted school where a student who came last on the test commits suicide. ,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Excellent_Shaman_Ga_Doo-shim.jpg/220px-Excellent_Shaman_Ga_Doo-shim.jpg,https://en.wikipedia.org/wiki/The_Great_Shaman_Ga_Doo-shim
The Great Show,"['Song Seung-heon', 'Lee Sun-bin', 'Lim Ju-hwan']",['Shin Yong-hwi'],"['Family', 'Political', 'Comedy']",8.1,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.  A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor. ",https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Thegreatshow.jpg/220px-Thegreatshow.jpg,https://en.wikipedia.org/wiki/The_Great_Show
The Greatest Love (South Korean TV series),"['Cha Seung-won', 'Gong Hyo-jin', 'Yoon Kye-sang', 'Yoo In-na']","['Park Hong-kyun', 'Lee Dong-yoon']","['Romance', 'Comedy']",7.7,"Gu Ae-Jeong, a wash out idol, meets famous actor Dokgo-Jin by chance. Off to a bad start, a series of rumors makes them get involved in each other's careers and boosts Ae-Jeong's popularity enough to participate in a match making show.   Gu Ae-Jeong, a wash out idol, meets famous actor Dokgo-Jin by chance. Off to a bad start, a series of rumors makes them get involved in each other's careers and boosts Ae-Jeong's popularity enough to participate in a match making show. ",https://upload.wikimedia.org/wikipedia/en/thumb/5/59/The_Greatest_Love_Promotional_Poster_%28640x512%29.jpg/220px-The_Greatest_Love_Promotional_Poster_%28640x512%29.jpg,https://en.wikipedia.org/wiki/The_Greatest_Love_(South_Korean_TV_series)
The Greatest Marriage,"['Park Si-yeon', 'Bae Soo-bin', 'No Min-woo']",['Oh Jong-rok'],"['Romance', 'Drama', 'Comedy']",6.5,"While the love lives and marriages of those around her unfold, a famous news anchor makes the controversial choice to become a single mother.  While the love lives and marriages of those around her unfold, a famous news anchor makes the controversial choice to become a single mother. ",https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/The_Greatest_Marriage_%28%EC%B5%9C%EA%B3%A0%EC%9D%98_%EA%B2%B0%ED%98%BC%29_-_Poster.jpg/220px-The_Greatest_Marriage_%28%EC%B5%9C%EA%B3%A0%EC%9D%98_%EA%B2%B0%ED%98%BC%29_-_Poster.jpg,https://en.wikipedia.org/wiki/The_Greatest_Marriage
The Guardians (South Korean TV series),"['Lee Si-young', 'Kim Young-kwang', 'Kim Tae-hoon', 'Kim Seul-gi', 'Key']","['Son Hyung-suk', 'Park Seung-woo']","['Action', 'Thriller']",7.6,People lose loved ones in crimes and the criminals are not punished. The daily lives of these people are completely broken. They form a group to realize justice.  People lose loved ones in crimes and the criminals are not punished. The daily lives of these people are completely broken. They form a group to realize justice. ,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Lookout_Poster.jpg/220px-Lookout_Poster.jpg,https://en.wikipedia.org/wiki/The_Guardians_(South_Korean_TV_series)
The Happy Loner,"['Min Hyo-rin', 'Gong Myung']",['Park Hyun-suk'],['Romantic-comedy'],7.6,A wandering ex-soldier encounters various problems wherever he visits in his travels.  A wandering ex-soldier encounters various problems wherever he visits in his travels. ,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/The_Happy_Loner_%28poster%29.jpg/220px-The_Happy_Loner_%28poster%29.jpg,https://en.wikipedia.org/wiki/The_Happy_Loner
The Heirs,"['Lee Min-ho', 'Park Shin-hye', 'Kim Woo-bin']","['Kang Shin-hyo', 'Boo Sung-chul']","['Romance', 'Drama', 'Teen']",7.5,"After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich.  After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich. ",https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/The_Inheritors_poster.jpg/250px-The_Inheritors_poster.jpg,https://en.wikipedia.org/wiki/The_Heirs
